recipe_id,recipe_name,category,cuisine,dietary_restrictions,difficulty,prep_time_mins,cook_time_mins,total_time_mins,servings,calories,protein_g,carbs_g,fat_g,rating,num_reviews,ingredients,equipment_needed,author,date_added
RCP00018,Creamy Pizza,Snack,French,None,Medium,51,145,196,3,654,29.3,-9.8,67.2,4.9,3255,"eggs, potatoes, rice, basil, oregano, pepper, salt",microwave,emily chen,10/17/2023
RCP00019,Herb Fried,Dinner,Japanese,None,Expert,93,104,197,4,1165,51.2,50,20.5,2.1,3725,"fish, spinach, garlic, cumin, pepper, oregano",,Sarah Wilson,09/12/2025
RCP00020,Herb Pizza,Lunch,Spanish,Low-Carb,Hard,83,21,104,11,174,10.1,106.8,29.5,1.4,661,"lettuce, flour, paprika, cinnamon, thyme, pepper","stovetop, food processor, air fryer, mixer",CHEF JOHN,20/07/2025
RCP00021,Spicy Pizza,Appetizer,Greek,Paleo,Expert,81,89,170,4,767,,40.1,30.9,3.3,4560,"pork, cauliflower, potatoes, pasta, pepper, basil",air fryer,Sarah Wilson,14/03/2025
RCP00022,Sweet Soup,Salad,Greek,None,Expert,49,120,169,10,859,-3.3,105.6,80.6,4.8,2371,chicken; tomatoes; mushrooms; onions,food processor,Bob Johnson,05/04/2024
RCP00023,Creamy Smoothie,Beverage,American,None,Medium,19,145,164,6,352,37.1,102.2,98.7,3.4,1451,"garlic, mushrooms, onions, flour, butter, salt, cumin, oregano","oven, slow cooker, grill, microwave",Sarah Wilson,22/06/2024
RCP00024,Crispy Smoothie,Breakfast,Thai,Paleo,Easy,61,122,183,6,10765,52.5,50,35,2.3,3166,"garlic, cauliflower, onions, broccoli, cumin, basil, thyme","mixer, slow cooker, grill",Chef John,17/02/2023
RCP00025,Crispy Pizza,Lunch,American,None,Easy,72,19,91,10,389,77.2,29.1,44.1,3.9,3677,"shrimp, garlic, carrots, cauliflower, lettuce, cream, pepper, basil, oregano","oven, food processor",chef john,21/07/2024
RCP00026,Tangy Smoothie,Dessert,Japanese,None,Hard,96,176,272,1,334,75.2,116.4,23.8,4.6,,"onions, lettuce, mushrooms, zucchini, oats, cumin, cinnamon, paprika, salt",food processor,David Lee,08/08/2025
RCP00027,Spicy Roast,Appetizer,Vietnamese,Dairy-Free,Easy,10,100,110,3,1030,25.2,122.3,64.7,4.1,358,"chicken, broccoli, onions, spinach, quinoa, basil, pepper","stovetop, mixer",Sarah Wilson,02/08/2024
RCP00028,Grilled,Beverage,Chinese,None,Hard,83,121,204,1,377,,57.4,67.9,4.1,,"beef, zucchini, spinach, flour, cheese, cumin, paprika","slow cooker, microwave",emily chen,15/08/2024
RCP00029,Creamy Tacos,Appetizer,Greek,None,Easy,25,192,217,3,461,5.3,71.8,57.5,2.4,4519,"mushrooms, oats, yogurt, cumin, thyme","blender, stovetop, air fryer",Mary Smith,06/03/2023
RCP00030,Sweet Cookies,Dinner,Greek,None,Easy,24,53,77,10,11317,23.2,120.7,7.3,2.1,248,"shrimp, mushrooms, carrots","microwave, mixer, pressure cooker, stovetop",mary smith,25/05/2025
RCP00031,Sandwich,Salad,American,None,Easy,32,159,191,8,635,,,28.9,4.5,2997,,"mixer, air fryer",emily chen,12/11/2025
RCP00032,Sweet Rice Bowl,Appetizer,Mediterranean,None,Expert,52,94,146,10,104,50.3,22.2,94.8,4.9,420,"turkey, bell peppers, garlic, lettuce","blender, slow cooker, grill",David Lee,27/05/2023
RCP00033,Sweet Roast,Dessert,American,None,Medium,76,213,289,10,756,17.1,84.3,74.1,2.2,3623,"lamb, potatoes, carrots, quinoa, cream, cumin","stovetop, grill, oven",Bob Johnson,01/06/2023
RCP00034,Herb Cake,Dinner,Italian,None,Expert,116,84,200,-1,980,58.5,2.1,67.4,4.8,1579,"shrimp, zucchini, spinach, onions, bell peppers, milk",stovetop|slow cooker|blender,,26/03/2024
RCP00035,Sweet Smoothie,Lunch,Greek,None,Hard,66,49,115,6,1150,6.2,82.1,15,3.7,4304,"onions, potatoes, carrots, mushrooms, oats, cinnamon, pepper","air fryer, stovetop, oven",,29/06/2023
RCP00036,Spicy Soup,Lunch,Thai,None,Medium,87,117,204,8,1154,78.3,63.6,46.1,5,1824,beef; potatoes; noodles; paprika; pepper,grill,Mary Smith,23/11/2025
RCP00037,Crispy Curry,Snack,Indian,None,Hard,35,87,122,9,408,11.9,71,70.8,4.9,4296,"chicken, bell peppers, zucchini, potatoes, garlic, bread, cheese, basil, salt, oregano","mixer, blender",David Lee,11/11/2025
RCP00038,Savory Pasta,Dessert,Spanish,Low-Carb,Medium,35,151,186,8,1100,45,39.1,41.8,3.9,1664,"fish, cauliflower, carrots, mushrooms, zucchini",stovetop,David Lee,09/02/2024
RCP00039,Spicy Curry,Beverage,Chinese,None,Medium,63,105,168,10,13719,34.4,137.7,62,-0.9,140,"bell peppers, onions, spinach, paprika, cumin",food processor,Chef John,27/11/2025
RCP00040,Creamy Baked,Breakfast,Indian,Low-Carb,Hard,,,,9,694,45.1,101.6,74,,3262,"zucchini, cheese, paprika, thyme, salt","food processor, air fryer, microwave, mixer",emily chen,10/11/2023
RCP00041,Creamy Steamed,Snack,Vietnamese,Vegan,Easy,24,199,223,2,,7.2,117.7,-9.2,1.5,4544,lamb; cauliflower; zucchini; quinoa; butter; oregano; paprika; pepper,"slow cooker, grill, air fryer",Bob Johnson,24/08/2023
RCP00042,Spicy Grilled,Beverage,French,None,Expert,109,220,329,3,1031,22.4,139.8,18,2.2,4717,"turkey, mushrooms, broccoli, cream, cinnamon, pepper, basil, cumin","mixer, pressure cooker, stovetop, oven",Emily Chen,20/12/2023
RCP00043,Crispy Fried,Breakfast,Korean,None,Expert,18,12,30,12,962,76.9,21.3,20.7,3.8,3954,"beef, lettuce, mushrooms, spinach, onions, noodles, basil, cinnamon","microwave, air fryer, food processor, grill",Emily Chen,18/09/2024
RCP00044,Savory Rice Bowl,Salad,Korean,None,Easy,108,213,321,9,587,49.4,44.6,13.4,2.3,935,"beef, spinach, garlic, thyme","oven, slow cooker, microwave, stovetop",Bob Johnson,10/02/2025
RCP00045,Cookies,Beverage,Greek,None,Expert,102,66,168,9,1064,17.5,98.1,3.2,4.1,340,"beef, onions, carrots, potatoes, spinach, cumin, oregano","pressure cooker, stovetop, microwave",mary smith,12/02/2024
RCP00046,Spicy Casserole,Snack,Greek,Gluten-Free,Medium,112,183,295,11,240,,109.6,35.8,4.5,4767,,"food processor, grill, microwave, mixer",CHEF JOHN,
RCP00047,Creamy Roast,Appetizer,American,Gluten-Free,Easy,34,119,153,1,1113,18.3,15.5,38.3,-0.6,3459,"onions, zucchini, cinnamon, cumin","food processor, mixer",chef john,10/10/2023
RCP00048,Crispy Baked,Dessert,American,None,Medium,104,186,290,,1093,47.5,148,86.1,4.1,3161,"lamb, mushrooms, onions, rice, milk, salt, thyme","pressure cooker, grill",David Lee,03/10/2023
RCP00049,Tangy Pizza,Beverage,Korean,None,Easy,35,24,59,2,409,62.5,115.7,,1.7,2123,"LAMB, BROCCOLI, CINNAMON, PAPRIKA",oven,Sarah Wilson,23/02/2025
RCP00050,Savory Pasta,Breakfast,Thai,None,Medium,107,192,299,6,209,37.2,49.1,-12.2,1.2,376,mushrooms; spinach; paprika; pepper,,Chef John,
RCP00051,Creamy Grilled,Dessert,Mediterranean,None,Expert,96,81,177,9,223,25.2,110.3,7.5,2.6,1070,"beef, onions, garlic, bread, basil, thyme",microwave,Sarah Wilson,14/03/2025
RCP00052,Tangy Stir-fry,Beverage,Mediterranean,Keto,Hard,114,125,239,2,74,65,,,1.8,688,"pork, spinach, quinoa, yogurt, thyme, paprika, salt","pressure cooker, slow cooker",Sarah Wilson,12/01/2025
RCP00053,Herb Roast,Dinner,Japanese,Dairy-Free,Easy,74,210,284,9,498,80,98.5,91.7,,3864,"cauliflower, bell peppers, noodles","slow cooker, pressure cooker",CHEF JOHN,04/12/2025
RCP00054,Spicy Sandwich,Lunch,Italian,Dairy-Free,Easy,-11,-48,-59,3,94,31.6,20.5,79.2,1.4,594,"lettuce, zucchini, paprika, basil, oregano","air fryer, oven, microwave, blender",Sarah Wilson,06/06/2024
RCP00055,Savory Rice Bowl,Lunch,Thai,Vegan,Medium,16,220,236,6,188,30.3,71.9,68.7,1.2,1362,"chicken, tomatoes, spinach, broccoli, milk","grill, air fryer, food processor, mixer",Sarah Wilson,18/05/2023
RCP00056,Sweet Cookies,Snack,American,Vegetarian,Expert,51,10,61,11,473,51.3,57.2,44,4.4,4006,"tofu, garlic, basil, thyme","blender, stovetop, food processor, slow cooker",David Lee,28/09/2025
RCP00057,Crispy Smoothie,Lunch,Vietnamese,None,Medium,59,30,89,11,187,41.8,22.2,94,4.4,101,"beef, zucchini, spinach, bell peppers",,Bob Johnson,
RCP00058,Tangy Roast,Breakfast,French,None,Hard,92,35,127,5,601,65.7,46.7,85.1,2.8,3968,"fish, tomatoes, carrots, rice, paprika, cumin, thyme, cinnamon","blender, stovetop, air fryer",emily chen,29/11/2025
RCP00059,Crispy Curry,Dessert,Indian,None,Medium,104,206,310,3,9135,24.2,87.7,,3.8,2856,"zucchini, potatoes, cauliflower, cheese, pepper, cumin, thyme","oven, slow cooker, blender, microwave",Chef John,29/05/2024
RCP00060,Herb Steamed,Breakfast,Korean,None,Medium,86,210,296,6,1193,52.4,130.7,37.2,2,1499,beef; tomatoes; potatoes; cauliflower; onions; pasta; thyme; oregano; cumin; paprika,"microwave, stovetop, slow cooker, air fryer",Sarah Wilson,28/03/2025
RCP00061,Tangy Cake,Breakfast,Italian,None,Medium,67,211,278,10,1027,15.2,37.3,12.9,2.5,,"tofu, onions, tomatoes, bread, basil, paprika, cinnamon, pepper","grill, oven",Chef John,10/01/2025
RCP00062,Creamy Cake,Appetizer,Spanish,None,Easy,84,22,106,2,-171,53,20.6,71.9,2.9,76,beef; carrots; cauliflower; lettuce,,Mary Smith,20/04/2023
RCP00063,Salad,Dinner,Mexican,None,Easy,34,126,160,8,,3.7,25.6,62.2,2.4,949,"eggs, onions, bell peppers, quinoa, cream, cinnamon, thyme, paprika, pepper","mixer, oven, microwave, grill",Sarah Wilson,10/03/2025
RCP00064,Roast,Salad,Italian,Paleo,Easy,78,195,273,11,245,0.9,70.4,75.1,3.7,4573,"fish, spinach, cumin, pepper, thyme",pressure cooker,Chef John,30/07/2023
RCP00065,Sweet Rice Bowl,Dessert,Greek,None,Hard,63,94,157,8,249,71.8,111.4,19.6,4.3,4276,"carrots, mushrooms, lettuce, spinach","pressure cooker, microwave, air fryer, mixer",David Lee,
RCP00066,Herb Salad,Appetizer,Mediterranean,None,Expert,40,111,151,8,11897,54.9,106.6,54.2,3.8,1645,,"oven, blender, grill",CHEF JOHN,2025.04.08
RCP00067,Tangy Curry,Salad,Mexican,None,Medium,105,213,318,11,,68.8,95.1,58.8,3.7,2058,"broccoli, mushrooms, flour, milk, pepper, paprika, salt, thyme",oven,CHEF JOHN,
RCP00068,Sweet Noodles,Salad,Vietnamese,None,Hard,28,143,171,7,486,0.7,135.7,95.9,4.8,4598,"onions, bell peppers, broccoli, zucchini, yogurt, cinnamon, paprika, salt",grill,David Lee,15/08/2025
RCP00069,Creamy Casserole,Dessert,Mediterranean,None,Expert,24,16,40,2,194,0.5,111.9,,2.6,138,"LAMB, BROCCOLI, CHEESE, CINNAMON","mixer, oven, microwave",David Lee,16/03/2025
RCP00070,Herb Pasta,Lunch,American,Paleo,Medium,25,57,82,4,161,46.4,100.7,7,2.8,551,turkey; cauliflower; potatoes; broccoli; yogurt; basil,"slow cooker, air fryer, pressure cooker",mary smith,13/09/2024
RCP00071,Grilled,Lunch,Chinese,None,Easy,73,60,133,2,113,43.2,58.9,85.7,1.9,,"lamb, bell peppers, rice, cumin, thyme","grill, oven, air fryer, blender",Mary Smith,06/04/2025
RCP00072,Herb Fried,Salad,Thai,None,Easy,71,172,243,5,825,27.6,1,23,3.1,4230,"garlic, lettuce, oats, paprika, cinnamon",air fryer,Emily Chen,26/05/2023
RCP00073,Spicy Noodles,Dinner,Italian,Gluten-Free,Expert,1973,3981,5954,2,1036,27.4,34.5,20.2,4.2,4184,,"food processor, mixer, stovetop, grill",David Lee,31/08/2023
RCP00074,Savory Sandwich,Lunch,American,None,Expert,-7,-10,-17,,470,22,62,37,1.6,4391,"tofu, lettuce, bell peppers, garlic, paprika, cinnamon, basil, pepper",air fryer,,16/10/2025
RCP00075,Sweet Soup,Dessert,French,Vegetarian,Expert,41,192,233,3,1111,78.1,59.9,20,3.1,295,"onions, basil, cumin","pressure cooker, blender, air fryer",chef john,21/01/2026
RCP00076,Steamed,Dessert,Vietnamese,None,Expert,66,39,105,4,773,38.1,40.4,91,-0.3,2801,"lettuce, carrots, milk, basil, pepper","air fryer, blender, slow cooker, stovetop",Chef John,28/04/2023
RCP00077,Sweet Smoothie,Beverage,Indian,None,Medium,74,18,92,11,1111,21.6,27.6,75.2,6.8,2127,"mushrooms, garlic, cauliflower, oats, oregano, thyme","pressure cooker, air fryer",Chef John,07/04/2025
RCP00078,Sweet Sandwich,Snack,Mediterranean,None,Easy,109,75,184,8,1191,43.1,48.8,44.7,6.5,1629,"tofu, potatoes, garlic, lettuce","oven, microwave, grill, mixer",Bob Johnson,01/08/2024
RCP00079,Savory Soup,Dinner,Japanese,Vegan,Expert,-18,-27,-45,5,848,,129.6,93.5,3.5,234,"lamb, cauliflower, lettuce, flour, thyme, oregano, basil, cinnamon",,mary smith,31/07/2025
RCP00080,Tangy Pizza,Snack,Thai,None,Expert,1381,4268,5649,1,11418,64,40.8,26.9,2.6,3458,garlic; broccoli; quinoa; cinnamon; pepper; cumin,"microwave, oven, slow cooker, stovetop",CHEF JOHN,10/21/2025
RCP00081,Grilled,Appetizer,Thai,None,Easy,12,78,90,8,831,7.5,58.4,15.9,2,274,"lamb, broccoli, bread, cheese, paprika, salt, pepper, cinnamon","stovetop, grill, microwave, pressure cooker",Sarah Wilson,30/05/2025
RCP00082,Tangy Rice Bowl,Breakfast,Italian,None,Medium,34,91,125,6,823,27.8,124.7,6.9,2.9,4014,"TOFU, MUSHROOMS, TOMATOES, ZUCCHINI, PASTA","stovetop, air fryer, pressure cooker",CHEF JOHN,29/11/2023
RCP00083,Crispy Pizza,Breakfast,Indian,Dairy-Free,Easy,,,,8,800,28.9,123.3,61.7,9.7,655,"beef, onions, carrots, zucchini, flour, cream, paprika, oregano","microwave, pressure cooker, food processor, blender",emily chen,03/10/2023
RCP00084,Cake,Appetizer,French,None,Hard,110,195,305,9,570,-8.8,-1.3,77.2,1,,onions; tomatoes; pasta; butter; paprika; pepper; cumin; basil,"air fryer, stovetop, blender, oven",Bob Johnson,04/11/2023
RCP00085,Herb Bread,Lunch,Vietnamese,Paleo,Hard,20,232,252,10,9381,77.7,13.5,14.8,1.6,413,"chicken, broccoli, onions, bell peppers, zucchini, flour, milk, paprika",mixer,Sarah Wilson,02-22-23
RCP00086,Tangy Baked,Breakfast,Vietnamese,None,Hard,23,122,145,4,225,24.4,111,75,4.7,112,pork; bell peppers; oregano; pepper,mixer,Chef John,15/12/2024
RCP00087,Sweet Pasta,Beverage,Indian,None,Easy,16,57,73,9,-137,24.2,41.4,,4,,"zucchini, butter, cumin, salt, basil","microwave, pressure cooker, grill",mary smith,22/10/2024
RCP00088,Crispy Grilled,Beverage,Vietnamese,Gluten-Free,Hard,28,91,119,1,892,61,85.1,68.7,3.5,1539,"TURKEY, ZUCCHINI, CAULIFLOWER, FLOUR, CREAM, CINNAMON, PEPPER, THYME","slow cooker, air fryer",Mary Smith,31/12/2025
RCP00089,Savory Tacos,Beverage,Japanese,None,Expert,78,162,240,12,136,77,132.7,16.6,4.9,,"lettuce, cream, pepper, cinnamon","grill, slow cooker, stovetop, microwave",,28/04/2025
RCP00090,Crispy Noodles,Lunch,Mexican,Low-Carb,Hard,70,166,236,7,,61.5,17.6,62.3,4.5,420,"TURKEY, ZUCCHINI, TOMATOES, CAULIFLOWER, MUSHROOMS, OATS, THYME","oven, microwave",Chef John,10/07/2024
RCP00091,Sweet Bread,Appetizer,Mexican,None,Medium,94,162,256,8,662,22,104.4,73,4,3856,"beef, lettuce, cauliflower, broccoli, bell peppers, yogurt, basil, pepper, oregano, cinnamon",stovetop,Mary Smith,27/01/2025
RCP00092,Herb Pie,Beverage,Italian,None,Medium,,,,2,62,53.8,96.8,89.2,3.3,1589,"bell peppers, tomatoes, zucchini, broccoli, salt, pepper, oregano, cumin","blender, mixer, oven, microwave",CHEF JOHN,03-31-25
RCP00093,Savory Sandwich,Appetizer,Thai,None,Hard,105,19,124,8,365,54.1,68.9,0.4,3.1,804,"spinach, rice, butter","air fryer, pressure cooker",mary smith,13/07/2024
RCP00094,Tangy Pie,Appetizer,American,Keto,Medium,74,123,197,11,,65.4,80,46.6,3.8,3652,"turkey, mushrooms, flour, cinnamon, pepper",stovetop|mixer|slow cooker|grill,Bob Johnson,17/01/2024
RCP00095,Tangy Grilled,Dinner,Mediterranean,Vegan,Hard,64,112,176,4,747,59.1,17.1,9.8,4.9,1934,"SHRIMP, CAULIFLOWER, NOODLES, BASIL, PAPRIKA, CINNAMON","blender, food processor",Chef John,21/04/2025
RCP00096,Savory Tacos,Dessert,Greek,None,Hard,60,193,253,2,311,8.8,64.8,71.2,4.9,,"lamb, potatoes, garlic, pasta, thyme, pepper, cumin","food processor, slow cooker",Emily Chen,06/09/2025
RCP00097,Herb Rice Bowl,Dinner,Thai,None,Expert,5,157,162,12,801,46.4,109.5,75.1,,,"beef, carrots, flour, pepper, basil, thyme, oregano","blender, air fryer, microwave",emily chen,02-27-24
RCP00098,Sweet Rice Bowl,Snack,Italian,None,Medium,99,169,268,,619,29.6,35.4,3.3,2,4847,mushrooms; bell peppers; cream; cumin,"pressure cooker, grill, food processor, mixer",Emily Chen,07/08/2024
RCP00099,Sweet Sandwich,Dinner,Mediterranean,None,Easy,45,145,190,9,608,15.6,27,83.2,3.6,1980,"LAMB, POTATOES, PASTA",air fryer,chef john,12/11/2024
RCP00100,Creamy Cake,Dinner,American,Vegan,Expert,120,180,300,3,845,39.4,32.8,71.5,2.1,1643,"beef, mushrooms, tomatoes, lettuce",,chef john,02/05/2023
RCP00101,Creamy Sandwich,Appetizer,French,None,Expert,51,146,197,8,1185,28.7,110.3,72,,3195,shrimp; zucchini; salt; cinnamon; cumin,"pressure cooker, microwave, grill, oven",David Lee,04/11/2025
RCP00102,Pizza,Breakfast,Thai,None,Easy,1795,1204,2999,2,267,46.1,119,33.6,1.3,3293,"shrimp, lettuce, spinach, salt","slow cooker, microwave, grill",chef john,
RCP00103,Roast,Beverage,Indian,None,Easy,16,170,186,7,,50.1,16.9,91.1,1.4,4421,"chicken, potatoes, pasta, cinnamon, salt, thyme","mixer, grill, stovetop",emily chen,02/12/2025
RCP00104,Savory Salad,Beverage,Indian,None,Medium,60,47,107,3,784,27.5,118.4,17,3.8,3813,"BELL PEPPERS, CINNAMON, THYME","microwave, oven",Sarah Wilson,07/09/2023
RCP00105,Spicy Curry,Salad,Spanish,None,Easy,94,220,314,2,-96,45.6,69.6,18.5,3.6,2497,"potatoes, flour, cheese, thyme, cinnamon, cumin","mixer, slow cooker, oven",Chef John,02/12/2024
RCP00106,Creamy Cake,Dessert,Chinese,None,Medium,101,158,259,12,1081,66,55.2,97.8,2.4,1005,"turkey, onions, pasta, cheese","oven, blender",David Lee,08/12/2024
RCP00107,Savory Pasta,Appetizer,Japanese,None,Hard,75,123,198,5,8418,67.1,23,31.7,2.8,4385,"eggs, carrots, zucchini, cumin, cinnamon","pressure cooker, air fryer, mixer",emily chen,10/12/2025
RCP00108,Grilled,Snack,Vietnamese,None,Medium,48,186,234,1,872,22.2,,67.2,2.3,4312,"carrots, mushrooms, spinach, zucchini",food processor,David Lee,27/06/2024
RCP00109,Crispy Grilled,Beverage,Spanish,None,Medium,43,131,174,6,231,60.4,57.3,82.6,,1432,"lamb, carrots, tomatoes, potatoes, garlic, flour, pepper, basil, thyme",slow cooker,emily chen,
RCP00110,Roast,Lunch,French,None,Easy,45,128,173,3,,14.7,81.6,68.5,1.2,629,"eggs, zucchini, cumin, oregano",stovetop,Mary Smith,03/03/2025
RCP00111,Pasta,Appetizer,American,None,Medium,102,97,199,12,341,60.6,,51.3,4.9,915,"tofu, onions, rice","air fryer, grill, stovetop",Sarah Wilson,29/07/2025
RCP00112,Spicy Bread,Dessert,Spanish,Keto,Medium,17,64,81,8,269,10.9,83.6,,1.9,2574,"shrimp, mushrooms, cauliflower, broccoli, thyme, cumin","pressure cooker, stovetop, air fryer, slow cooker",,01/06/2023
RCP00113,Creamy Bread,Dinner,Mexican,None,Medium,20,69,89,5,869,39.8,14.9,,5,3724,"chicken, bell peppers, cauliflower, yogurt",food processor,David Lee,17/04/2023
RCP00114,Herb Salad,Salad,French,None,Expert,115,209,324,8,274,39.6,52.9,2.8,3.2,1280,"eggs, lettuce, cauliflower","pressure cooker, mixer, oven",chef john,17/09/2024
RCP00115,Herb Casserole,Snack,Italian,None,Easy,78,35,113,11,745,23,,22.6,1.8,617,"cauliflower, rice, cinnamon, paprika, pepper, cumin","pressure cooker, microwave, oven",Emily Chen,26/05/2024
RCP00116,Crispy Smoothie,Salad,Indian,None,Expert,114,206,320,12,352,21.4,103,15,4.4,527,"tofu, mushrooms, zucchini",stovetop,,05/11/2025
RCP00117,Tangy Casserole,Lunch,Japanese,None,Medium,20,143,163,9,300,17.1,129.4,,3.9,3464,,"mixer, stovetop, grill",Mary Smith,20/11/2025
RCP00118,Spicy Steamed,Beverage,American,None,Medium,61,171,232,11,1056,28.1,110.7,-14.3,3.9,1313,"turkey, tomatoes, bell peppers, bread, cheese, cumin, pepper","blender, microwave, mixer, food processor",Bob Johnson,09/05/2025
RCP00119,Creamy Pizza,Appetizer,Chinese,None,Expert,7,152,159,2,395,75.8,65.3,67.4,,1222,"eggs, potatoes, rice, basil, oregano, pepper, salt","slow cooker, stovetop",emily chen,2023.10.17
RCP00120,Herb Baked,Dessert,Spanish,None,Expert,12,23,35,6,143,71.4,,49.3,,3233,"onions, spinach, pepper, cumin, salt","microwave, mixer, slow cooker",mary smith,04/07/2024
RCP00121,Pizza,Breakfast,Indian,Dairy-Free,Medium,,,,7,954,22.7,123.4,21.2,3,1012,"pork, onions, carrots","slow cooker, mixer, microwave",Chef John,24/05/2023
RCP00122,Sweet Curry,Appetizer,Vietnamese,Vegan,Expert,103,231,334,4,365,29.4,58.2,9,4.2,1075,"bell peppers, potatoes, rice, paprika, basil, thyme","blender, grill, food processor",emily chen,21/02/2023
RCP00123,Creamy Curry,Breakfast,Mediterranean,None,Expert,37,100,137,9,,60.6,51.2,21.1,4.4,2438,"potatoes, onions, bell peppers, cheese","grill, stovetop, oven",Emily Chen,10/05/2023
RCP00124,Spicy Pie,Dessert,Thai,None,Medium,29,32,61,8,961,,,97.9,3.3,3209,"tomatoes, mushrooms, bell peppers, oats, cinnamon, pepper, basil, salt","slow cooker, food processor, oven, stovetop",chef john,22/09/2025
RCP00125,Pie,Appetizer,Thai,Dairy-Free,Hard,64,43,107,7,787,48.5,149.1,4.7,3.5,3955,"tofu, potatoes, garlic","pressure cooker, stovetop, oven",Chef John,29/10/2024
RCP00126,Tacos,Lunch,Mexican,None,Easy,85,40,125,3,1070,0.5,43,71.5,2.3,3597,,microwave,chef john,07/04/2025
RCP00127,Spicy Steamed,Dinner,Korean,Keto,Expert,43,194,237,1,350,32.4,5.5,74,3.2,2828,"lamb, carrots, onions, zucchini, cumin","oven, stovetop, slow cooker",Bob Johnson,18/09/2023
RCP00128,Pasta,Appetizer,Indian,None,Medium,96,156,252,9,444,17.2,60.4,87.2,3.8,509,"shrimp, lettuce, mushrooms, bell peppers, garlic, pasta, cumin, basil, oregano","food processor, stovetop, pressure cooker",David Lee,
